date,open,high,low,close,preclose,volume
2021/4/1,6713.600098,6766.5,6713.600098,6737.299805,6737.299805,592371100
2021/4/6,6737.299805,6843.700195,6737.299805,6823.600098,6823.600098,773873100
2021/4/7,6823.600098,6898.399902,6823.600098,6885.299805,6885.299805,708769700
2021/4/8,6885.299805,6942.200195,6884.799805,6942.200195,6942.200195,792318200
2021/4/9,6942.200195,6949.600098,6906.399902,6915.799805,6915.799805,615052100
2021/4/12,6915.799805,6916.100098,6853.799805,6889.100098,6889.100098,639363600
2021/4/13,6889.100098,6895.100098,6859.700195,6890.5,6890.5,572405700
2021/4/14,6890.5,6942.299805,6880.700195,6939.600098,6939.600098,596867000
2021/4/15,6939.600098,6994.899902,6939.299805,6983.5,6983.5,651402900
2021/4/16,6983.5,7037.700195,6983.5,7019.5,7019.5,742505700
2021/4/19,7019.5,7040.299805,6979.200195,7000.100098,7000.100098,529712700
2021/4/20,7000.100098,7001.299805,6857.100098,6859.899902,6859.899902,825253600
2021/4/21,6859.899902,6914.899902,6859.600098,6895.299805,6895.299805,662064600
2021/4/22,6895.299805,6941.100098,6889.299805,6938.200195,6938.200195,647196400
2021/4/23,6938.200195,6938.600098,6891.799805,6938.600098,6938.600098,582223700
2021/4/26,6938.600098,6971.5,6913.399902,6963.100098,6963.100098,511633400
2021/4/27,6963.100098,6975.100098,6929.799805,6945,6945,658634400
2021/4/28,6945,6986.700195,6944.100098,6963.700195,6963.700195,990231900
2021/4/29,6963.700195,7019.799805,6953.899902,6961.5,6961.5,657930300
2021/4/30,6961.5,7009.5,6946,6969.799805,6969.799805,831625600
2021/5/4,6969.799805,7034.299805,6912.299805,6923.200195,6923.200195,911981600
2021/5/5,6923.200195,7047.799805,6923.200195,7039.299805,7039.299805,734979800
2021/5/6,7039.299805,7076.200195,7026.799805,7076.200195,7076.200195,764405400
2021/5/7,7076.200195,7143.5,7076.200195,7129.700195,7129.700195,624763100
2021/5/10,7129.700195,7164.200195,7104.399902,7123.700195,7123.700195,744129400
2021/5/11,7123.700195,7123.700195,6912.399902,6948,6948,933225500
2021/5/12,6948,7028.100098,6945.299805,7004.600098,7004.600098,743459700
2021/5/13,7004.600098,7004.600098,6823.600098,6963.299805,6963.299805,660813600
2021/5/14,6963.299805,7048.700195,6963.299805,7043.600098,7043.600098,845954300
2021/5/17,7043.600098,7066.799805,6989.100098,7032.899902,7032.899902,582188300
2021/5/18,7032.899902,7102.600098,7030.399902,7034.200195,7034.200195,736327300
2021/5/19,7034.200195,7034.200195,6897.100098,6950.200195,6950.200195,729532000
2021/5/20,6950.200195,7019.799805,6926.899902,7019.799805,7019.799805,626003200
2021/5/21,7019.799805,7028.200195,6973.299805,7018.100098,7018.100098,803607300
2021/5/24,7018.100098,7054.600098,7013.5,7051.600098,7051.600098,422927700
2021/5/25,7051.600098,7067.600098,7029.799805,7029.799805,7029.799805,619367600
